"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","A","골목상권","3110821","보라매역 2번","","","","","","","","","",""
"20261","A","골목상권","3110820","성남고등학교","","","","","","","","","",""
"20261","A","골목상권","3110819","신대방역 4번","","","","","","","","","",""
"20261","A","골목상권","3110818","신대방역 3번","","","","","","","","","",""
"20261","A","골목상권","3110817","대방역 4번","","","","","","","","","",""
"20261","A","골목상권","3110816","대방역 6번","","","","","","","","","",""
"20261","A","골목상권","3110815","공군호텔","","","","","","","","","",""
"20261","A","골목상권","3110814","서울지방병무청","","","","","","","","","",""
"20261","A","골목상권","3110813","보라매역 6번","","","","","","","","","",""
"20261","A","골목상권","3110812","신길6동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110811","보라매역 4번","","","","","","","","","",""
"20261","A","골목상권","3110810","영신초등학교","","","","","","","","","",""
"20261","A","골목상권","3110809","장훈고등학교","","","","","","","","","",""
"20261","A","골목상권","3110808","신길역 1번","","","","","","","","","",""
"20261","A","골목상권","3110807","신길역 3번","","","","","","","","","",""
"20261","A","골목상권","3110806","서울시립영등포장애인복지관","","","","","","","","","",""
"20261","A","골목상권","3110805","신길새마을금고신길4동지점","","","","","","","","","",""
"20261","A","골목상권","3110804","신풍역 1번","","","","","","","","","",""
"20261","A","골목상권","3110803","신길2동우편취급국","","","","","","","","","",""
"20261","A","골목상권","3110802","신길동홍어거리","","","","","","","","","",""
"20261","A","골목상권","3110801","신풍역 6번(신길6동공영주차장)","","","","","","","","","",""
"20261","A","골목상권","3110800","영등포동성당","","","","","","","","","",""
"20261","A","골목상권","3110799","영등포본동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110798","신풍역 2번","","","","","","","","","",""
"20261","A","골목상권","3110797","KT대방빌딩","","","","","","","","","",""
"20261","A","골목상권","3110796","한림대학교한강성심병원","","","","","","","","","",""
"20261","A","골목상권","3110795","도림초등학교","","","","","","","","","",""
"20261","A","골목상권","3110794","영동초등학교","","","","","","","","","",""
"20261","A","골목상권","3110793","대림썬프라자","","","","","","","","","",""
"20261","A","골목상권","3110792","영등포역 2번","","","","","","","","","",""
"20261","A","골목상권","3110791","신풍역 3번","","","","","","","","","",""
"20261","A","골목상권","3110790","대림1동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110789","대림성모병원","","","","","","","","","",""
"20261","A","골목상권","3110788","영등포시장역 3번","","","","","","","","","",""
"20261","A","골목상권","3110787","신길3동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110786","당산역 8번","","","","","","","","","",""
"20261","A","골목상권","3110785","영등포푸르지오아파트","","","","","","","","","",""
"20261","A","골목상권","3110784","신대림초등학교","","","","","","","","","",""
"20261","A","골목상권","3110783","영등포시장역 1번","","","","","","","","","",""
"20261","A","골목상권","3110782","영등포시장역 4번","","","","","","","","","",""
"20261","A","골목상권","3110781","대림한신아파트","","","","","","","","","",""
"20261","A","골목상권","3110780","신길대성유니드아파트","","","","","","","","","",""
"20261","A","골목상권","3110779","대림갑을명가아파트","","","","","","","","","",""
"20261","A","골목상권","3110778","구로디지털단지역 4번","","","","","","","","","",""
"20261","A","골목상권","3110777","구로세무서","","","","","","","","","",""
"20261","A","골목상권","3110776","도신초등학교","","","","","","","","","",""
"20261","A","골목상권","3110775","대동초등학교","","","","","","","","","",""
"20261","A","골목상권","3110774","당산반도유보라팰리스아파트","","","","","","","","","",""
"20261","A","골목상권","3110773","당산역 13번","","","","","","","","","",""
"20261","A","골목상권","3110772","신우어린이공원","","","","","","","","","",""
"20261","A","골목상권","3110771","대림역 11번","","","","","","","","","",""
"20261","A","골목상권","3110770","영등포구청역 6번","","","","","","","","","",""
"20261","A","골목상권","3110769","대림차이나타운(대림역 12번)","","","","","","","","","",""
"20261","A","골목상권","3110768","도림2동유수지내체육시설","","","","","","","","","",""
"20261","A","골목상권","3110767","도림동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110766","대림역 5번","","","","","","","","","",""
"20261","A","골목상권","3110765","문래동사거리","","","","","","","","","",""
"20261","A","골목상권","3110764","문래역 3번","","","","","","","","","",""
"20261","A","골목상권","3110763","영등포구청역 2번","","","","","","","","","",""
"20261","A","골목상권","3110762","선유도역 1번","","","","","","","","","",""
"20261","A","골목상권","3110761","문래동남성맨션","","","","","","","","","",""
"20261","A","골목상권","3110760","선유도역 6번","","","","","","","","","",""
"20261","A","골목상권","3110759","문래예술촌(문래창작촌)","","","","","","","","","",""
"20261","A","골목상권","3110758","문래소공원","","","","","","","","","",""
"20261","A","골목상권","3110757","양평역 2번","","","","","","","","","",""
"20261","A","골목상권","3110756","문래중학교","","","","","","","","","",""
"20261","A","골목상권","3110755","동일여자고등학교","","","","","","","","","",""
"20261","A","골목상권","3110754","삼성산자연공원(서울금천초등학교)","","","","","","","","","",""
"20261","A","골목상권","3110753","시흥동 은행나무사거리","","","","","","","","","",""
"20261","A","골목상권","3110752","한울중학교","","","","","","","","","",""
"20261","A","골목상권","3110751","난곡중학교","","","","","","","","","",""
"20261","A","골목상권","3110750","시흥4동주민센터(서울신흥초등학교)","","","","","","","","","",""
"20261","A","골목상권","3110749","금산초등학교(금천고등학교)","","","","","","","","","",""
"20261","A","골목상권","3110748","백산초등학교","","","","","","","","","",""
"20261","A","골목상권","3110747","석수역 1번 출입구","","","","","","","","","",""
"20261","A","골목상권","3110746","금천금빛공원(은행나무사거리서측)","","","","","","","","","",""
"20261","A","골목상권","3110745","독산동정훈단지","","","","","","","","","",""
"20261","A","골목상권","3110744","독산동성당","","","","","","","","","",""
"20261","A","골목상권","3110743","시흥초등학교(시흥1동우체국)","","","","","","","","","",""
"20261","A","골목상권","3110742","KT금천빌딩(금천구시설관리공단)","","","","","","","","","",""
"20261","A","골목상권","3110741","독산2동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110740","금천해태공원","","","","","","","","","",""
"20261","A","골목상권","3110739","시흥3동 우편취급국","","","","","","","","","",""
"20261","A","골목상권","3110738","문성초등학교","","","","","","","","","",""
"20261","A","골목상권","3110737","금천세무서","","","","","","","","","",""
"20261","A","골목상권","3110736","독산119안전센터","","","","","","","","","",""
"20261","A","골목상권","3110735","말미고개","","","","","","","","","",""
"20261","A","골목상권","3110734","금천파출소","","","","","","","","","",""
"20261","A","골목상권","3110733","금천어울림복지센터","","","","","","","","","",""
"20261","A","골목상권","3110732","가산초등학교(세일중학교)","","","","","","","","","",""
"20261","A","골목상권","3110731","금천구청역 1번 출입구","","","","","","","","","",""
"20261","A","골목상권","3110730","서울축산농협 독산역지점(독산파출소)","","","","","","","","","",""
"20261","A","골목상권","3110729","가산동우체국","","","","","","","","","",""
"20261","A","골목상권","3110728","두산초등학교","","","","","","","","","",""
"20261","A","골목상권","3110727","독산역 1번 출입구","","","","","","","","","",""
