"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권배후지_코드","상권배후지_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20261","A","골목상권","3111059","강동역 4번(강풀만화거리)","11767659","5451372","6316287","1502095","1670451","2157149","1930763","1741318","2765884","3274759","2426159","1306699","1296474","1888952","1574617","1666701","1638989","1657872","1650173","1662168","1737031","1754727"
"20261","A","골목상권","3111058","성내중학교","3902341","1795958","2106383","644980","454061","562691","641646","619398","979566","1148476","818956","419822","409485","589053","516550","560710","550581","555327","551853","551446","558050","574377"
"20261","A","골목상권","3111057","천호공원(해공체육문화센터)","4023363","1897260","2126103","574840","504193","672420","630546","620566","1020797","1086992","809195","455531","461408","669460","540777","565243","561305","564296","563860","569840","592699","606120"
"20261","A","골목상권","3111056","천호태영아파트","4022701","1857065","2165636","407934","729834","876499","635371","576652","796410","915392","792028","504347","523808","757693","529434","554992","548645","557975","556793","576577","619242","608474"
"20261","A","골목상권","3111055","선사초등학교","1919470","911286","1008183","349314","204061","284022","327771","294913","459388","550360","387044","202512","206778","310316","262459","269508","264842","265498","265426","264859","289116","300217"
"20261","A","골목상권","3111054","암사역 4번(삼성광나루아파트)","2285740","1080212","1205529","393485","249335","344531","388242","356330","553817","622026","457506","256557","261187","384430","304035","321021","315258","316056","316057","317770","346100","353479"
"20261","A","골목상권","3111053","성내천어린이공원(하니사랑길)","3893947","1777165","2116782","627587","464028","610492","685215","630423","876203","954583","818586","506244","498321","641549","474665","559444","561733","564177","568654","568904","532560","538474"
"20261","A","골목상권","3111052","암사역 3번(천호동자전거거리)","4404096","2074167","2329929","598382","507705","767901","764144","694912","1071053","1159643","899567","494980","504677","751030","594198","623786","616982","618023","618688","624568","649411","652639"
"20261","A","골목상권","3111051","천호역 6번","8284547","3804896","4479651","1223846","1113550","1452312","1282941","1229495","1982404","2178220","1667255","960311","973893","1419414","1085454","1166798","1152478","1163550","1159222","1170607","1231810","1240082"
"20261","A","골목상권","3111050","강동구청(강동구청역 2번)","2797312","1258214","1539099","501473","313067","438502","449227","428929","666115","699370","571982","346346","351906","476322","351388","402712","401863","401463","403457","402603","390519","394697"
"20261","A","골목상권","3111049","천호지구대(천호동자전거거리)","5011461","2368535","2642928","533177","660611","959549","827492","795090","1235541","1283055","1020537","613414","624906","834043","635505","703780","700579","707792","707719","710948","744222","736422"
"20261","A","골목상권","3111048","천호역 1번(천호문구완구거리)","4252495","2015955","2236541","406165","594235","806544","683873","688048","1073633","1039283","857238","538869","559372","730311","527425","596144","596583","602318","601908","605274","634327","615941"
"20261","A","골목상권","3111047","마천1치안센터","2414055","1162897","1251157","433500","236851","277498","338229","422986","704991","731316","510633","244531","238909","358204","330463","341912","337031","338046","335462","332854","353612","375138"
"20261","A","골목상권","3111046","마천역(마천초등학교)","5461569","2620211","2841357","869595","524275","690854","787161","904862","1684821","1581606","1128285","587015","585899","853603","725161","776300","767542","765546","760155","762173","799024","830829"
"20261","A","골목상권","3111045","개미어린이공원","2200327","1013007","1187320","389093","216459","295043","342041","352433","605260","672175","458919","227218","220408","326228","295378","312490","308691","310644","309015","309791","322928","326766"
"20261","A","골목상권","3111044","남천초등학교","4563676","2199553","2364123","693439","445785","587148","659391","757589","1420323","1267812","924206","503984","513816","751529","602328","645627","639449","634580","630838","634382","677187","701613"
"20261","A","골목상권","3111043","마천공원","2423884","1169807","1254077","350614","237778","315569","353254","424947","741719","663697","501160","270324","275104","397342","316257","344857","340758","340176","337799","336108","356716","367470"
"20261","A","골목상권","3111042","거여역 1번(거여공원)","6574081","3100337","3473743","1027919","686071","890493","999861","1126549","1843190","1792789","1341257","736433","739673","1086867","877063","933175","926731","928392","924900","929188","957715","973980"
"20261","A","골목상권","3111041","거여역 8번","1039529","484485","555044","163196","116395","148096","163384","179290","269170","263654","220500","123411","122585","177186","132191","147840","147047","148168","146779","148644","150118","150935"
"20261","A","골목상권","3111040","거여초등학교","3501026","1641979","1859046","679783","313012","445064","556083","572202","934880","1049587","746193","385035","365868","504877","449466","502871","494935","500186","498575","491712","498840","513908"
"20261","A","골목상권","3111039","벌말어린이공원","4351566","2064542","2287024","844430","396825","558927","681214","704227","1165943","1258130","918339","497811","473061","648835","555389","627010","617511","626124","625224","617130","613180","625386"
"20261","A","골목상권","3111038","보인중학교","3523252","1685177","1838074","677847","328959","458033","546687","574519","937206","1025187","728083","401240","383046","528879","456819","509137","500877","508463","507906","504418","494023","498428"
"20261","A","골목상권","3111037","Sh수협은행 오금동금융센터(아랫말어린이공원)","2349412","1101359","1248054","477073","213022","283410","388613","383478","603817","633875","495144","274201","265457","376854","303882","334362","331318","333059","332733","327865","339560","350515"
