"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20231","R","전통시장","3130243","도림시장","48290","24111","24180","4446","7007","9698","7938","8123","11080","17182","9923","3995","3626","6177","7385","6827","7007","6925","6871","6841","6692","7126"
"20231","R","전통시장","3130242","대림중앙 골목형상점가","337531","169724","167807","22859","30345","53592","62873","76826","91036","88308","64026","38120","39710","61629","45739","46808","46258","46247","45602","46645","50411","55559"
"20231","R","전통시장","3130241","선유도역 골목형상점가","310282","158427","151854","28749","58556","76192","60095","42405","44285","64086","64479","45656","44069","54784","37205","45623","46839","47116","47528","46838","38788","37549"
"20231","R","전통시장","3130240","영등포유통상가","31211","15251","15961","2584","5369","6840","5933","4910","5577","4809","6699","5409","5450","5835","3010","4691","4785","4717","4856","4751","3834","3578"
"20231","R","전통시장","3130239","양남시장","25181","12350","12832","2014","4429","5676","5042","3820","4199","4685","5368","4164","4155","4330","2477","3786","3827","3817","3911","3807","3126","2905"
"20231","R","전통시장","3130238","은행나무시장","458903","214160","244743","69006","53176","60212","68918","78980","128611","109191","92547","56552","61042","83821","55749","63295","63044","63086","62439","62545","70979","73514"
"20231","R","전통시장","3130237","박미시장(기능상실)","14042","7781","6261","1496","1710","2350","2557","2549","3377","3879","3370","1483","1381","2009","1920","2055","2087","2069","2074","2064","1864","1829"
"20231","R","전통시장","3130236","비단길현대시장(현대시장)","537008","253949","283059","54801","75571","83483","79483","98745","144926","132642","100046","63243","65251","99734","76091","75029","74470","75017","74579","75842","81143","80927"
"20231","R","전통시장","3130235","대명여울빛거리시장(대명시장)","187619","93724","93896","19332","29422","29338","30453","37131","41944","30033","32746","27224","32023","42885","22711","26172","27459","27585","27559","28026","27244","23575"
"20231","R","전통시장","3130234","푸른터시장(기능상실)","67593","33173","34420","9454","9332","12509","11996","11039","13264","23622","14043","5718","5272","8935","10003","9684","9580","9493","9485","9484","9659","10210"
"20231","R","전통시장","3130233","남문시장","267992","127848","140144","24079","34029","43807","42616","51333","72129","79812","55162","27881","27903","40356","36879","38036","37637","38417","37974","38522","38111","39295"
"20231","R","전통시장","3130232","독산동 맛나는거리상점가(독산동 맛나는거리)","180091","90283","89808","11266","31073","38353","29068","33126","37204","34695","33781","25790","27165","36529","22131","25735","25316","25620","25481","25762","27091","25087"
