"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","R","전통시장","3130185","망원월드컵시장","481878287","117210279","59705943","34495168","57442423","83301312","19408091","14113127","75562611","20639333"
"20261","R","전통시장","3130183","상암동상점가","3690505872","902022245","440960856","273827384","448265915","621692581","143807391","108594085","603512544","147822871"
"20261","R","전통시장","3130182","영천시장","397044657","116210322","46646507","29483267","57474176","61447127","13150480","12658155","43515422","16459201"
"20261","R","전통시장","3130181","아현가구거리상점가","524748685","166771252","61401608","39895893","76921319","71040451","15946485","18688355","52004029","22079293"
"20261","R","전통시장","3130180","포방터시장","346989188","100569277","40521337","24011761","50836178","53620167","11350668","10472836","41173213","14433751"
"20261","R","전통시장","3130179","이화여대 3,5,7길 상점가","415950741","82722727","62148250","25763690","46244151","45414457","17156563","18080514","93744821","24675568"
"20261","R","전통시장","3130178","이대 앞 스타트업 상점가","40578126","9656881","5785907","2272717","5134689","3446836","1339581","1839964","8802932","2298619"
"20261","R","전통시장","3130177","인왕시장(홍제골목형상점가)","121565186","31294671","15494050","9352160","16259824","20774174","5969316","3621675","13765038","5034278"
"20261","R","전통시장","3130176","유진상가","","","","","","","","","",""
"20261","R","전통시장","3130175","신촌 상인회(신촌상점가)","32879730","6996146","4808918","2147390","3721704","3830702","1374726","1381390","6755446","1863308"
"20261","R","전통시장","3130173","백련시장","121000373","26026766","16305611","9906552","13823505","22558637","7514352","3268235","16654676","4942039"
"20261","R","전통시장","3130172","모래내시장(서중시장)","178039706","46540701","22600741","13892928","24945291","32058579","7851805","5200180","17072891","7876590"
"20261","R","전통시장","3130171","불광먹자골목 골목형상점가","1775032187","445115413","212209069","130159864","223184221","303247263","63265989","52896282","270917080","74037006"
"20261","R","전통시장","3130170","제일시장","","","","","","","","","",""
"20261","R","전통시장","3130169","대조시장","1182371837","301126232","142597721","88842668","148950025","195480046","47436372","35326304","174467873","48144596"
"20261","R","전통시장","3130168","연서시장","197028438","44548306","25070086","14940679","23359148","34582928","9902114","5342388","31385786","7897003"
"20261","R","전통시장","3130167","연신내상점가(연빛거리)","533103566","137968420","63618389","37723998","68196100","88352733","18633794","15909678","80384211","22316243"
"20261","R","전통시장","3130166","응암시장(신응암시장)","185960384","43214172","23565219","15047991","22208105","32606772","9931846","5247835","26705487","7432957"
"20261","R","전통시장","3130165","대림골목시장(대림시장, 양지시장)","203343193","55457129","23870965","14289517","27794011","32546332","6724433","6014405","28111499","8534902"
"20261","R","전통시장","3130164","역촌중앙시장","","","","","","","","","",""
"20261","R","전통시장","3130163","응암오거리상점가","481720102","122784433","58989174","35931098","62325823","82630905","19166406","14200080","65272185","20419998"
"20261","R","전통시장","3130162","증산골목시장","37495135","10714049","4432095","2611937","5276987","5991033","1231122","1147074","4499912","1590926"
"20261","R","전통시장","3130161","증산종합시장","80773380","19363517","10345954","5965628","10080364","14617643","3598029","2281544","10947044","3573657"
"20261","R","전통시장","3130160","수일시장","37317401","12772168","4126243","2630342","6826211","5164466","1123364","1166265","2120056","1388286"
"20261","R","전통시장","3130159","공릉동 도깨비시장","1159792312","279916296","148415899","90703246","141775698","207419789","55807856","34134014","152240398","49379116"
"20261","R","전통시장","3130157","상계중앙시장","901559400","278817743","102215050","63013542","137996788","124492846","28520624","28894813","102408106","35199888"
"20261","R","전통시장","3130154","상계주공1단지(가)상가","","","","","","","","","",""
"20261","R","전통시장","3130153","창동역상점가","","","","","","","","","",""
"20261","R","전통시장","3130152","오!도봉거리 상점가","567613158","165185369","65883190","39472432","83880455","87591948","18717801","17495785","66599848","22786330"
"20261","R","전통시장","3130151","신도봉시장","51834025","14426033","6072136","3732244","7344318","8303655","1718736","1544139","6526312","2166452"
"20261","R","전통시장","3130150","창동골목시장","365211275","115406982","41566114","25205238","57176190","51971630","11266917","11624788","36611687","14381729"
"20261","R","전통시장","3130149","창동신창시장","864072119","227948642","104452248","63785581","114773891","142696334","33276530","26036262","115178427","35924204"
"20261","R","전통시장","3130148","방학동도깨비시장","634038643","180666008","74001413","43448704","91238793","97185418","20604565","18776844","81771679","26345219"
"20261","R","전통시장","3130147","쌍문역동측상점가","625318327","161315838","75632990","48070276","78637746","100697223","26808003","19162514","90452177","24541560"
"20261","R","전통시장","3130146","쌍문시장(쌍문역골목시장)","1655394935","444968452","199091863","120028512","222673154","269615557","60637097","50303319","218944906","69132075"
