행정동_코드,행정동_코드_명,당월_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,아침_비중,점심_비중,저녁_비중,컨셉_적합도,분기초_매출,점포_수,자치구_코드,성장률,카페1개당_평균매출_억원
11620565,성현동,62863918,10428903,20334718,7771993,16.6,32.3,12.4,61.3,67324819,24,11620,-6.6,0.03
11620575,행운동,1476574580,134286675,319856557,316006988,9.1,21.7,21.4,52.2,1767756306,47,11620,-16.5,0.31
11620585,낙성대동,774491788,28263678,176115051,279248275,3.6,22.7,36.1,62.4,815972806,72,11620,-5.1,0.11
11620595,청룡동,1171159464,125180274,307997447,336736868,10.7,26.3,28.8,65.8,1054046032,54,11620,11.1,0.22
11620605,은천동,639050896,61312682,176972380,176063092,9.6,27.7,27.6,64.9,591758833,39,11620,8.0,0.16
11620615,중앙동,451674719,60679471,134846817,107035452,13.4,29.9,23.7,67.0,505033810,36,11620,-10.6,0.13
11620625,인헌동,1022796247,129192613,321196343,227906204,12.6,31.4,22.3,66.3,945987043,35,11620,8.1,0.29
11620630,남현동,896035352,108481330,271139010,239201780,12.1,30.3,26.7,69.1,686272591,30,11620,30.6,0.3
11620645,서원동,2279212566,172878977,430258748,778408709,7.6,18.9,34.2,60.7,2843292790,32,11620,-19.8,0.71
11620655,신원동,136012251,18671925,46404333,33112023,13.7,34.1,24.3,72.1,111355062,23,11620,22.1,0.06
11620665,서림동,268585256,31565476,72375587,54590042,11.8,26.9,20.3,59.0,234061671,33,11620,14.7,0.08
11620685,신사동,80848242,10149146,20944125,19129472,12.6,25.9,23.7,62.2,195493247,46,11620,-58.6,0.02
11620695,신림동,1619293808,169269928,334753907,388837268,10.5,20.7,24.0,55.2,1433555935,52,11620,13.0,0.31
11620715,난향동,16789094,0,3089227,5963925,0.0,18.4,35.5,53.9,26678914,8,11620,-37.1,0.02
11620725,조원동,694706693,72328565,181572290,198651361,10.4,26.1,28.6,65.1,641195101,46,11620,8.3,0.15
11620735,대학동,1589692934,214788685,437332781,437183040,13.5,27.5,27.5,68.5,1474760545,43,11620,7.8,0.37
11620745,삼성동,622436,0,0,70910,0.0,0.0,11.4,11.4,3970987,5,11620,-84.3,0.0
11620765,미성동,217009786,31821357,68570433,49070289,14.7,31.6,22.6,68.9,223569853,26,11620,-2.9,0.08
11620775,난곡동,388395021,80645382,111923242,83761508,20.8,28.8,21.6,71.2,352970605,11,11620,10.0,0.35
11650510,서초1동,2990392176,599702421,1205342546,421918223,20.1,40.3,14.1,74.5,2661188191,96,11650,12.4,0.31
11650520,서초2동,6478154970,1325354036,3009574594,800689741,20.5,46.5,12.4,79.4,5676278739,98,11650,14.1,0.66
11650530,서초3동,9981490656,1840639695,4519856572,1314041996,18.4,45.3,13.2,76.9,9545634283,172,11650,4.6,0.58
11650531,서초4동,5984927009,887317588,2144869882,1270245183,14.8,35.8,21.2,71.8,5060407702,58,11650,18.3,1.03
